City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vryburg,20,ZA,1584323067,42,-26.96,24.73,63.05,1.75
mahebourg,40,MU,1584322895,94,-20.41,57.7,75.00200000000008,1.5
bosaso,68,SO,1584323072,86,11.28,49.18,77.57600000000009,4.91
mahibadhoo,5,MV,1584323074,68,3.78,72.97,83.3,2.39
sinnamary,75,GF,1584323076,77,5.38,-52.95,79.592,7.25
ati,0,TD,1584323078,14,13.22,18.34,68.77400000000002,3.47
sao felix do xingu,100,BR,1584323080,99,-6.64,-51.99,69.74600000000005,1.55
san carlos de bariloche,0,AR,1584322848,58,-41.15,-71.31,53.6,2.1
norman wells,20,CA,1584323084,72,65.28,-126.83,15.8,8.7
tuburan,75,PH,1584323086,74,6.64,122.27,84.2,1.5
katsuura,75,JP,1584323089,57,35.13,140.3,53.99600000000005,4.6
bowen,40,AU,1584323096,61,-20.02,148.23,84.99199999999999,7.2
umea,32,SE,1584323038,69,63.83,20.26,37.4,9.3
ambilobe,100,MG,1584323100,90,-13.2,49.05,77.66600000000001,1.62
pouembout,56,NC,1584323102,71,-21.13,164.9,81.51800000000009,3.55
hilo,75,US,1584322926,65,19.73,-155.09,80.6,6.2
havre-saint-pierre,90,CA,1584322920,52,50.23,-63.6,17.6,8.2
manitouwadge,100,CA,1584322996,88,49.12,-85.84,11.552000000000078,1.74
grand gaube,40,MU,1584323113,94,-20.01,57.66,75.00200000000008,1.5
pevek,0,RU,1584323115,82,69.7,170.31,7.538000000000046,5.48
buritizeiro,100,BR,1584323117,86,-17.35,-44.96,66.21800000000009,0.49
mataura,97,NZ,1584323119,76,-46.19,168.86,53.99600000000005,5.81
buala,100,SB,1584323121,75,-8.14,159.59,83.62400000000001,4.27
westport,1,US,1584323075,22,41.14,-73.36,46.99400000000007,3.1
theunissen,10,ZA,1584323127,83,-28.41,26.7,60.27800000000006,4.88
barrow,90,US,1584323130,85,71.29,-156.79,10.399999999999999,8.2
geraldton,95,AU,1584323132,69,-28.77,114.6,75.2,1.5
umtata,99,ZA,1584323134,93,-31.59,28.78,59.0,1.5
atuona,0,PF,1584323136,65,-9.8,-139.03,82.20200000000008,3.91
constitucion,0,CL,1584323139,80,-35.33,-72.42,53.00600000000003,2.64
chabahar,0,IR,1584323144,69,25.29,60.64,68.36000000000008,1.97
punta arenas,75,CL,1584322887,76,-53.15,-70.92,57.2,8.2
qui nhon,59,VN,1584323148,63,13.77,109.23,82.77800000000006,2.36
san policarpo,44,PH,1584323150,67,12.18,125.51,81.734,3.91
vestmannaeyjar,100,IS,1584323152,93,63.44,-20.27,38.983999999999995,23.72
saint-georges,40,GD,1584323154,88,12.06,-61.75,75.2,1.5
kunming,25,CN,1584322987,39,25.04,102.72,71.99600000000005,4.0
avarua,100,CK,1584322886,79,-21.21,-159.78,84.2,3.1
mehamn,100,NO,1584322932,79,71.04,27.85,20.048000000000023,3.71
east london,97,ZA,1584323164,71,-33.02,27.91,69.26000000000008,5.3
norton,92,ZW,1584323166,84,-17.88,30.7,62.11400000000003,1.95
brigantine,1,US,1584323170,60,39.41,-74.36,42.998000000000026,1.5
puerto ayora,40,EC,1584323172,78,-0.74,-90.35,80.6,3.1
ozernovskiy,100,RU,1584323174,97,51.5,156.52,28.508000000000003,14.53
tarakan,0,ID,1584323176,66,3.3,117.63,82.36400000000003,2.69
sisimiut,94,GL,1584323179,95,66.94,-53.67,-11.811999999999955,3.01
kontagora,87,NG,1584323181,11,10.4,5.47,70.84400000000008,2.46
katherine,0,AU,1584323183,46,-14.47,132.27,89.6,2.1
taoudenni,0,ML,1584323185,12,22.68,-3.98,68.30600000000003,2.73
busselton,91,AU,1584323187,44,-33.65,115.33,73.99400000000007,3.36
eyrarbakki,90,IS,1584323189,86,63.86,-21.15,33.8,12.9
kilindoni,100,TZ,1584323191,81,-7.91,39.67,83.73200000000001,6.57
sotouboua,13,TG,1584323193,58,8.57,0.98,77.97200000000004,0.24
rayadrug,29,IN,1584323196,53,14.7,76.87,79.358,3.62
giehun,86,SL,1584323198,92,7.88,-11.05,74.94800000000002,0.41
waitati,88,NZ,1584323200,77,-45.75,170.57,57.992,12.96
cozumel,20,MX,1584323202,83,20.51,-86.95,78.99800000000002,2.6
kodiak,40,US,1584323204,64,57.79,-152.41,39.2,2.6
torbay,20,CA,1584323206,73,47.67,-52.73,26.99600000000005,5.1
los cedrales,68,PY,1584323208,69,-25.65,-54.7,82.4,2.1
padang,25,ID,1584323211,56,-0.95,100.35,84.29000000000002,0.87
barcelos,20,PT,1584323209,100,41.54,-8.62,42.008,1.4
cabo san lucas,75,MX,1584323215,68,22.89,-109.91,71.00600000000003,3.69
lompoc,90,US,1584323217,87,34.64,-120.46,55.4,2.1
tabou,100,CI,1584323219,95,4.42,-7.35,74.94800000000002,0.78
tasiilaq,100,GL,1584322943,50,65.61,-37.64,8.600000000000001,8.7
ilulissat,93,GL,1584323224,47,69.22,-51.1,-9.399999999999949,4.6
bluff,67,NZ,1584323226,76,-46.6,168.33,53.99600000000005,5.81
dehloran,3,IR,1584323228,63,32.69,47.27,58.208000000000006,1.5
victoria,20,HK,1584323228,64,22.29,114.16,73.00400000000005,8.7
flinders,75,AU,1584323232,93,-34.58,150.86,69.99800000000002,6.7
saint-augustin,99,CA,1584323234,78,51.23,-58.65,8.870000000000061,5.88
srednekolymsk,10,RU,1584322957,86,67.45,153.68,-2.973999999999961,1.8
bushenyi,16,UG,1584323239,95,-0.59,30.21,62.52800000000006,0.6
lazaro cardenas,25,MX,1584323243,88,17.96,-102.2,75.83000000000004,1.63
mushie,100,CD,1584323245,69,-3.02,16.9,77.75600000000003,1.43
saint-joseph,13,RE,1584323248,78,-21.37,55.62,78.8,6.7
robertsport,65,LR,1584323250,86,6.75,-11.37,81.95,3.32
marzuq,100,YE,1584323252,66,14.4,46.47,66.2,1.0
vila velha,20,BR,1584323254,88,-20.33,-40.29,77.0,1.5
sokyryany,0,UA,1584323256,49,48.45,27.42,30.541999999999994,0.83
luderitz,0,NA,1584323233,82,-26.65,15.16,62.6,6.7
upington,0,ZA,1584323260,28,-28.45,21.26,69.8,2.1
chapais,1,CA,1584323262,76,49.78,-74.85,-7.599999999999952,0.4
dandong,0,CN,1584322990,32,40.13,124.39,36.932000000000016,4.83
karratha,0,AU,1584323173,70,-20.74,116.85,86.41400000000003,3.67
hirara,20,JP,1584323270,42,24.8,125.28,68.0,5.7
dresden,97,DE,1584323273,48,51.05,13.74,39.992,8.2
machinga,0,MW,1584323275,96,-15.17,35.3,64.07600000000009,0.45
yarega,43,RU,1584323280,88,63.44,53.58,10.832000000000015,5.27
yellowknife,20,CA,1584323283,72,62.46,-114.35,14.0,9.3
tiksi,100,RU,1584323287,81,71.69,128.87,9.08600000000007,9.2
north bend,90,US,1584323288,81,43.41,-124.22,48.00200000000008,2.6
chuy,99,UY,1584323292,74,-33.7,-53.46,61.84400000000007,2.06
poum,0,NC,1584323294,79,-20.23,164.02,81.91400000000003,5.28
shubarshi,100,KZ,1584323296,80,48.59,57.19,33.314000000000036,0.76
hovd,3,MN,1584323298,20,48.01,91.64,35.79800000000002,1.66
makurdi,98,NG,1584323300,25,7.74,8.51,75.88399999999999,1.77
bayir,75,TR,1584323302,93,37.27,28.22,50.0,2.1
sao raimundo nonato,100,BR,1584323304,79,-9.02,-42.7,74.49800000000002,0.24
mount gambier,0,AU,1584323307,52,-37.83,140.77,66.2,3.6
baker city,75,US,1584323044,93,44.77,-117.83,37.4,2.1
saint anthony,1,US,1584323311,64,45.02,-93.22,37.004000000000055,3.12
udachnyy,90,RU,1584323313,92,66.42,112.4,23.0,4.0
praia,72,CV,1584323188,79,14.92,-23.51,68.75600000000003,6.2
vila franca do campo,20,PT,1584323260,76,37.72,-25.43,51.8,1.0
sao jose da coroa grande,46,BR,1584323319,74,-8.9,-35.15,82.14800000000002,2.52
buarcos,40,PT,1584323322,75,40.17,-8.88,46.99400000000007,0.5
khairpur nathan shah,94,PK,1584323324,33,27.09,67.73,71.43800000000005,2.32
rawson,79,AR,1584323276,66,-43.3,-65.1,64.27400000000002,9.02
fuling,98,CN,1584323328,58,29.7,107.39,56.354000000000056,1.18
shimoda,40,JP,1584323330,53,34.67,138.95,51.8,5.1
san cristobal,20,VE,1584323232,65,7.77,-72.22,78.8,2.1
melchor de mencos,20,GT,1584323335,74,17.07,-89.15,80.6,1.29
los llanos de aridane,20,ES,1584323255,68,28.66,-17.92,64.4,8.7
phangnga,20,TH,1584323339,66,8.45,98.53,86.0,7.7
asau,0,RO,1584323343,73,46.43,26.4,23.0,0.97
puerto maldonado,100,PE,1584323345,89,-12.6,-69.18,76.53200000000001,0.58
grindavik,90,IS,1584323347,93,63.84,-22.43,35.6,15.4
marion,90,US,1584323179,86,39.77,-86.16,42.008,3.1
sahuaripa,0,MX,1584323352,44,29.05,-109.23,57.38000000000004,1.26
qaanaaq,100,GL,1584323354,51,77.48,-69.36,-2.3259999999999366,3.07
dalvik,90,IS,1584323356,86,65.97,-18.53,30.2,8.7
trairi,94,BR,1584323358,96,-3.28,-39.27,73.77800000000006,1.26
muros,40,ES,1584323360,100,42.78,-9.06,50.0,1.5
pahalgam,1,IN,1584323363,55,34.03,75.33,13.85600000000003,6.58
turayf,40,SA,1584323366,100,31.67,38.66,46.4,1.5
broken hill,0,AU,1584323368,31,-31.95,141.43,75.2,5.7
leningradskiy,0,RU,1584323370,73,69.38,178.42,13.604000000000052,1.89
cockburn town,0,TC,1584323372,69,21.46,-71.14,74.26400000000004,7.04
karasjok,100,NO,1584323374,85,69.47,25.51,21.2,4.6
northam,0,GB,1584323376,90,51.03,-4.22,42.998000000000026,1.79
jackson,75,US,1584323187,80,42.42,-122.83,42.8,0.72
chokurdakh,0,RU,1584323380,87,70.63,147.92,-9.849999999999952,2.55
kargasok,100,RU,1584323383,97,59.06,80.86,32.72000000000006,8.7
kihei,40,US,1584323385,61,20.79,-156.47,82.4,5.7
gazojak,100,TM,1584323387,46,41.19,61.4,59.09000000000002,4.16
guasdualito,20,VE,1584323389,51,7.24,-70.73,82.4,2.6
wharton,40,US,1584323391,83,29.31,-96.1,73.4,4.6
new norfolk,20,AU,1584323393,51,-42.78,147.06,69.00800000000001,1.5
smidovich,0,RU,1584323395,83,48.6,133.82,21.164000000000033,4.24
ewa beach,90,US,1584323398,83,21.32,-158.01,80.6,3.1
cap malheureux,40,MU,1584323400,94,-19.98,57.61,75.00200000000008,1.5
jining,100,CN,1584323402,46,35.41,116.58,56.408,6.58
thompson,90,CA,1584323193,72,55.74,-97.86,17.6,4.6
hithadhoo,100,MV,1584323406,62,-0.6,73.08,83.15600000000003,2.61
ancud,1,CL,1584323408,81,-41.87,-73.82,53.6,2.1
tottori,75,JP,1584323115,70,35.5,134.23,44.6,13.4
ballina,40,AU,1584323290,53,-28.87,153.57,77.0,8.7
upata,0,VE,1584323414,88,8.01,-62.4,70.97000000000006,2.18
bengkulu,74,ID,1584323241,58,-3.8,102.27,88.808,0.64
codajas,65,BR,1584323419,94,-3.84,-62.06,75.65,0.9
trofors,64,NO,1584323421,64,65.53,13.41,33.8,6.7
guiratinga,0,BR,1584323423,80,-16.35,-53.76,72.44600000000005,0.93
leshukonskoye,100,RU,1584323425,90,64.9,45.76,19.04000000000002,5.98
sorland,62,NO,1584323429,54,67.67,12.69,31.55,9.08
pandan,97,PH,1584323301,79,14.05,124.17,79.43000000000004,7.04
isangel,90,VU,1584323436,84,-19.55,169.27,86.0,10.3
bathsheba,40,BB,1584323438,74,13.22,-59.52,78.8,4.1
zyryanskoye,100,RU,1584323442,89,56.83,86.63,36.662000000000056,7.47
jardim,31,BR,1584323444,71,-21.48,-56.14,76.1,1.59
aromashevo,32,RU,1584323446,89,56.86,68.64,25.448000000000025,4.65
airai,97,TL,1584323448,58,-8.93,125.41,80.2760000000001,2.62
la ronge,20,CA,1584323254,56,55.1,-105.28,15.8,4.1
aksarka,44,RU,1584323453,80,66.56,67.8,-6.861999999999952,3.92
menongue,100,AO,1584323455,97,-14.66,17.69,63.608000000000004,1.88
goderich,13,CA,1584323457,61,43.75,-81.72,30.002000000000077,4.31
channel-port aux basques,0,CA,1584323459,74,47.57,-59.14,22.85600000000003,1.27
payakumbuh,72,ID,1584323461,82,-0.22,100.63,75.7760000000001,1.68
kirovsk,0,UA,1584323463,62,48.64,38.64,27.302000000000078,4.03
paralimni,40,CY,1584323466,93,35.04,33.98,55.4,1.0
egvekinot,99,RU,1584323468,96,66.32,-179.17,11.191999999999997,1.55
nisia floresta,75,BR,1584323470,94,-6.09,-35.21,77.0,0.5
havoysund,100,NO,1584323472,73,71.0,24.66,21.2,6.7
copiapo,0,CL,1584323474,82,-27.37,-70.33,62.6,1.5
saldanha,99,ZA,1584323476,63,-33.01,17.94,62.6,4.1
the valley,40,AI,1584323478,73,18.22,-63.06,77.0,3.6
adrar,0,MR,1584323480,20,20.5,-10.07,67.33399999999999,5.64
andenes,100,NO,1584323482,86,69.31,16.12,26.6,11.8
te anau,98,NZ,1584323487,72,-45.42,167.72,49.694000000000074,4.03
koryazhma,0,RU,1584323490,89,61.31,47.17,15.116000000000007,3.57
gat,37,IL,1584323492,93,31.61,34.76,57.992,1.5
lorengau,100,PG,1584323494,72,-2.02,147.27,84.16400000000003,2.95
preeceville,48,CA,1584323496,94,51.95,-102.67,4.676000000000091,4.52
chara,100,RU,1584323498,87,56.91,118.26,21.43399999999999,1.17
ca mau,9,VN,1584323500,48,9.18,105.15,91.13000000000004,7.15
cherskiy,94,RU,1584323281,85,68.75,161.3,8.528000000000066,2.94
saint george,1,US,1584323505,51,37.1,-113.58,62.6,5.1
elk point,90,US,1584323507,81,42.68,-96.68,33.8,4.1
esperance,40,AU,1584323509,73,-33.87,121.9,73.4,3.1
auki,100,SB,1584323511,74,-8.77,160.7,84.18200000000002,5.88
sibolga,31,ID,1584323513,58,1.74,98.78,86.30600000000003,1.2
hervey bay,75,AU,1584323517,50,-25.3,152.85,78.8,7.7
richards bay,53,ZA,1584323520,79,-28.78,32.04,77.61200000000005,11.93
hasaki,40,JP,1584323522,57,35.73,140.83,55.004000000000055,3.1
bambous virieux,40,MU,1584323526,94,-20.34,57.76,75.00200000000008,1.5
carballo,40,ES,1584323530,76,43.21,-8.69,51.008,4.6
avera,1,US,1584323532,93,33.19,-82.53,64.4,1.5
matara,0,LK,1584323535,67,5.95,80.54,84.542,1.29
basco,7,PH,1584323295,71,20.45,121.97,70.25,10.99
whitehorse,40,CA,1584323539,31,60.72,-135.05,35.6,0.45
san patricio,75,MX,1584323541,74,19.22,-104.7,82.4,4.1
assiniboia,100,CA,1584323543,85,49.63,-105.98,20.048000000000023,4.12
rio gallegos,100,AR,1584323545,58,-51.62,-69.22,62.96000000000008,7.17
prince rupert,1,CA,1584323547,48,54.32,-130.32,44.6,1.5
guerrero negro,0,MX,1584323549,72,27.98,-114.06,60.51200000000006,6.93
sechura,99,PE,1584323552,77,-5.56,-80.82,76.78399999999999,3.39
deputatskiy,0,RU,1584323554,81,69.3,139.9,-16.00599999999998,1.59
nemuro,75,JP,1584323556,54,43.32,145.57,30.2,2.1
vardo,100,NO,1584323558,67,70.37,31.11,19.4,4.1
ouadda,0,CF,1584323560,32,8.08,22.4,66.79400000000007,1.29
bogande,33,BF,1584323562,13,12.97,-0.14,78.18800000000005,4.1
omsukchan,100,RU,1584323564,93,62.53,155.8,4.820000000000061,3.6
berlevag,100,NO,1584323289,64,70.86,29.09,29.03000000000004,5.0
lalpur,100,IN,1584323569,19,22.2,69.97,74.46200000000006,8.56
salalah,20,OM,1584323571,69,17.02,54.09,75.2,2.1
vao,10,NC,1584323573,72,-22.67,167.48,81.21200000000006,12.58
sept-iles,90,CA,1584323575,47,50.2,-66.38,15.8,6.2
bujaru,75,BR,1584323577,94,-1.51,-48.04,73.4,4.6
samarai,2,PG,1584323579,51,-10.62,150.67,90.33800000000005,1.74
swan river,2,CA,1584323581,89,52.11,-101.27,9.248000000000026,5.82
panaba,0,MX,1584323583,79,21.28,-88.27,76.91000000000008,4.84
corn island,33,NI,1584323585,76,12.17,-83.04,80.816,7.6
kloulklubed,75,PW,1584323588,70,7.04,134.26,86.0,5.1
souillac,40,MU,1584323590,94,-20.52,57.52,75.00200000000008,1.5
gizo,98,SB,1584323592,68,-8.1,156.84,83.78600000000007,3.06
honningsvag,100,NO,1584323594,70,70.98,25.97,26.54600000000005,2.18
loikaw,100,MM,1584323596,24,19.67,97.21,81.842,4.0
makakilo city,90,US,1584323598,83,21.35,-158.09,80.6,3.1
dingle,0,PH,1584323600,56,11.0,122.67,84.79400000000007,4.93
aitape,100,PG,1584323605,78,-3.14,142.35,79.7,6.17
faanui,8,PF,1584323607,71,-16.48,-151.75,83.31800000000008,4.55
chepareria,100,KE,1584323609,70,1.31,35.2,70.37600000000009,1.06
tambura,30,SS,1584323611,44,5.6,27.47,75.434,1.52
coquimbo,90,CL,1584323615,87,-29.95,-71.34,60.8,1.5
nanortalik,19,GL,1584323617,65,60.14,-45.24,18.410000000000082,11.14
luwuk,54,ID,1584323620,74,-0.95,122.79,82.49000000000002,2.29
comodoro rivadavia,81,AR,1584323372,63,-45.87,-67.5,62.6,1.5
tazovskiy,5,RU,1584323624,96,67.47,78.7,-11.757999999999953,3.17
nchelenge,100,ZM,1584323626,94,-9.35,28.73,68.9,3.26
huautla,50,MX,1584323628,93,21.03,-98.28,65.96600000000001,0.79
santa maria,75,BR,1584323417,94,-29.68,-53.81,73.4,2.1
matay,0,EG,1584323632,63,28.42,30.78,63.89600000000005,2.13
kirillov,27,RU,1584323634,76,59.86,38.38,20.98399999999999,4.75
kinsale,0,IE,1584323637,86,51.71,-8.53,37.4,2.1
itaituba,100,BR,1584323639,98,-4.28,-55.98,69.908,0.72
grootfontein,100,NA,1584323641,74,-19.57,18.12,69.89000000000001,0.72
gilgit,17,PK,1584323643,50,35.92,74.31,15.548000000000023,0.74
olovyannaya,100,RU,1584323645,82,50.95,115.57,32.82800000000007,7.86
miramar,1,US,1584323647,69,25.99,-80.23,75.99199999999999,4.1
bandiagara,100,ML,1584323649,13,14.35,-3.61,81.24800000000002,3.06
sorong,0,ID,1584323651,49,-0.88,131.25,89.85200000000007,2.21
korop,0,UA,1584323654,60,51.57,32.96,26.906000000000027,3.06
keetmanshoop,0,NA,1584323656,31,-26.58,18.13,75.2,1.5
sohag,0,EG,1584323658,67,26.56,31.69,62.6,3.1
pangnirtung,100,CA,1584323660,91,66.15,-65.71,-19.587999999999944,3.44
maniitsoq,38,GL,1584323662,72,65.42,-52.9,-1.5159999999999556,2.64
bethel,5,US,1584323664,25,41.37,-73.41,44.99600000000005,3.1
korla,96,CN,1584323666,72,41.76,86.15,39.992,1.71
marawi,32,PH,1584323668,72,8.0,124.29,80.00600000000003,3.13
asfi,11,MA,1584323670,90,32.3,-9.24,51.044000000000075,1.78
mareeba,40,AU,1584323675,55,-17.0,145.43,87.8,3.1
olinda,75,BR,1584323679,94,-8.01,-34.86,75.2,5.1
ngunguru,100,NZ,1584323681,77,-35.62,174.5,68.0,1.79
bandar-e lengeh,0,IR,1584323683,76,26.56,54.88,72.01400000000004,8.64
mayo,1,US,1584323685,75,38.89,-76.51,44.99600000000005,1.02
synya,100,RU,1584323687,86,65.37,58.04,7.736000000000068,6.29
tromso,90,NO,1584323690,86,69.65,18.96,26.6,10.8
borba,100,BR,1584323692,98,-4.39,-59.59,74.46200000000006,0.85
ahipara,100,NZ,1584323694,74,-35.17,173.17,66.84800000000003,5.48
baiyin,100,CN,1584323696,28,36.56,104.21,32.0,2.29
wamba,43,NG,1584323698,15,8.93,8.6,70.25,0.89
surgana,0,IN,1584323700,17,20.57,73.62,82.22000000000006,5.35
pozega,0,HR,1584323702,79,45.34,17.69,33.998000000000026,1.0
campo verde,40,BR,1584323704,78,-20.42,-54.07,77.0,1.0
longyearbyen,90,SJ,1584323707,84,78.22,15.64,1.3999999999999986,5.1
solnechnyy,65,RU,1584323709,88,50.72,136.63,16.502000000000077,2.45
nagato,75,JP,1584323713,61,34.38,131.2,50.0,6.2
jieshi,15,CN,1584323715,57,22.81,115.83,66.99199999999999,5.91
ambulu,0,ID,1584323718,74,-8.35,113.61,81.86000000000008,0.74
suoyarvi,100,RU,1584323723,94,62.08,32.35,30.272000000000038,7.8
severo-kurilsk,97,RU,1584323725,95,50.68,156.12,24.83600000000007,20.89
novyy buyan,75,RU,1584323727,100,53.69,50.05,28.4,4.0
broome,1,US,1584323731,42,42.25,-75.83,28.994000000000074,4.1
shelburne,1,CA,1584323733,58,44.08,-80.2,30.991999999999997,1.0
sri aman,75,MY,1584323736,88,1.24,111.46,80.6,1.0
ust-nera,86,RU,1584323738,90,64.57,143.2,-12.819999999999958,1.77
ouidah,40,BJ,1584323741,88,6.36,2.09,82.4,5.7
kedougou,20,SN,1584323746,18,12.56,-12.17,74.24600000000005,1.48
puerto baquerizo moreno,82,EC,1584323748,80,-0.9,-89.6,79.484,2.55
falefa,86,WS,1584323750,73,-13.89,-171.59,82.61600000000001,4.04
zhangye,81,CN,1584323752,23,38.93,100.45,46.67000000000006,2.44
gariaband,42,IN,1584323754,94,20.64,82.06,71.6,2.1
dinguiraye,100,GN,1584323757,20,11.3,-10.72,71.72600000000008,0.93
prainha,94,BR,1584323759,93,-1.8,-53.48,71.76200000000006,1.13
celestun,0,MX,1584323761,84,20.87,-90.4,77.05400000000006,10.59
cerrito,40,CO,1584323763,100,6.84,-72.69,69.8,2.1
marsa matruh,0,EG,1584323765,87,31.35,27.25,53.6,2.03
uusikaupunki,90,FI,1584323769,86,60.8,21.41,41.0,8.2
olga,44,RU,1584323771,54,43.74,135.29,30.254000000000055,5.17
ipora,0,BR,1584323773,90,-16.44,-51.12,69.72800000000007,0.61
osorno,0,CL,1584323778,97,-40.57,-73.15,50.0,1.6
batticaloa,58,LK,1584323780,80,7.71,81.69,80.74400000000007,2.05
lagoa,0,PT,1584323782,75,39.05,-27.98,60.76400000000003,6.26
